Author	Rating	Review	Restaurant	Location
Chan Leong Low	4	Is a comfy place to chill as the seat are comfortably arranged.. Nice vibe, nice ambiance, nice music, staff are attentive. The variety of the menu is not alot but they focus on what they do best.. Got their own specialty food and coffee	Fish and Chips by Bareeseta	Ipoh
Jils T	5	pleasantly surprised visit to this unassuming cafe amongst the many in the area. it is by far the best brunch kinda breakfast I've had in Ipoh. I had a very well made waffled rosti that came with a sausage, a sunny side and an impressive	Fish and Chips by Bareeseta	Ipoh
Stephen G	5	Charming, comfy cafe, delicious brunch & all-day foods,  expertly crafted coffees, juices & smoothies. Friendly feel w nice vibe. â¤ï¸ Bareeseta!	Fish and Chips by Bareeseta	Ipoh
Billy Kia	5	Simple, Good food and a quiet place to talk during weekdays! Friendly staff! Looking forward to come back here again with my friend.Reese is the Restaurant manager here. That's why she named the Restaurant as BaREESEta! Interesting!	Fish and Chips by Bareeseta	Ipoh
Jia Wei Kuan	5	I had the garlic baked fish, it was awesome and a brand new experience to me. You must try it if you are a garlic lover like me.	Fish and Chips by Bareeseta	Ipoh
TH Tan	5	Good food. And as shop name indicates,  their fish and chip is good	Fish and Chips by Bareeseta	Ipoh
Adrian Leong	5	Food are delicious! Worth every penny! Will definitely come back for more!	Fish and Chips by Bareeseta	Ipoh
Andre Schoch	5	Ipoh may be famous for its White Coffee and Chinese cuisine, but if it's espresso drinks and bistro food you're looking for, the Old Town has half a dozen hipster coffee shops with Western and fusion food located inside heritage buildings.	Fish and Chips by Bareeseta	Ipoh
Ludovic Saintvoirin	5	Excellent place!!! Really good fish and chips, pork ribs ðŸ˜‹ðŸ˜‹ðŸ˜‹ðŸ˜‹.Congratulations to the chef cook.Don't forget to try the " crÃ¨me brÃ»lÃ©e"	Fish and Chips by Bareeseta	Ipoh
Gilbert Gan	5	The fish is good quality. Cooked close to authentic british, but fortunately with far more flavour.	Fish and Chips by Bareeseta	Ipoh
See Teck Chong	4	Crispy batter & moist fish! The place to go in Ipoh if you missed good fish & chips!	Fish and Chips by Bareeseta	Ipoh
Adelynn Lim	5	Great food, equally great service. The 200+ reviews here speak for themselves. Come at lunchtime to beat the crowd!	Fish and Chips by Bareeseta	Ipoh
Chris Koh	5	Great and refreshing mash up of local ingredients with modernistic cuisine. Deserts too. Kudos, must try place in Ipoh!	Fish and Chips by Bareeseta	Ipoh
Rob Greig	5	Best coffee and best breakfast in Ipoh. Non-halal and the real bacon is a welcome sight. All our food was cooked perfectly and the service was great.	Fish and Chips by Bareeseta	Ipoh
TJ Leong	4	Very cozy place, food and drinks excellent, price point just a tad pricey, but its to maintain the quality of the food so it's reasonable. Definitely should give it a try	Fish and Chips by Bareeseta	Ipoh
Thomas Jefferson	3	A pretty nice brunch place serving a small menu of western eats. Portion size is good for the price charged (~RM20++/item).	Fish and Chips by Bareeseta	Ipoh
C Report	5	One of cafes to open early. Simple nice environment with digital menu.	Fish and Chips by Bareeseta	Ipoh
Steffen Ruefer	5	Great smoothies, the mushroom soup is amazing and the salads and sandwiches are also great! Highly recommended!	Fish and Chips by Bareeseta	Ipoh
Kenneth Lee	2	Came before CNY, service was okay. Ordered fish and chips. Loved it but it was so pricey!!!	Fish and Chips by Bareeseta	Ipoh
Nn Chan	4	Great food. Fantastic fish and chips. My friends too loved the experience.	Fish and Chips by Bareeseta	Ipoh
Alison Stevens	2	I came here for breakfast based on other reviews and was disappointed. Ordered poached eggs, bacon and toast. The eggs were the half-cooked type and the toast - although tasty - was fruit loaf so didnâ€™t suit the savoury nature of the breakfast.	Fish and Chips by Bareeseta	Ipoh
Pranesh Sharma	5	Came for breakfastIt was on table in few minutesIt was delicious and filling	Fish and Chips by Bareeseta	Ipoh
leon cornelious	5	Not sure about the small amount of negative reviews here but despite being there on Merdeka day with high volume of customers, the service was good. This coffee house has well trained staff to serve its customers and moreover they have an	Fish and Chips by Bareeseta	Ipoh
Chris C.H	3	The long black was okay, but I feel that it could use some improvement. Less water and more of the presence of the coffee would help.  Didn't try the food as I had dim sum prior to getting my caffeine fix before heading out to Gua Tempurung.	Fish and Chips by Bareeseta	Ipoh
Sayron Ruiz	5	Awesome ribsâ€¦ Best in Malaysia so farâ€¦ the creme brÃ»lÃ©e is out of this world!â€¦ Excellent service	Fish and Chips by Bareeseta	Ipoh
Kong Ming Siem	5	Food is good and beautiful environment. Enjoyed my time doing there.	Fish and Chips by Bareeseta	Ipoh
Ong C	4	Good coffee. One of the earliest cafe to open in the morning.	Fish and Chips by Bareeseta	Ipoh
Stephanie Hiew	4	Nice food and fast service	Fish and Chips by Bareeseta	Ipoh
Richard Keating	4	Cappuccino has too much of a burnt flavour for my tastes. I like a stronger flavoured cappuccino but am looking for a more balanced presentation.  RM9 for a pretty large cup. Salad was rm16 and done nicely,  a light citrusy salad. Environment is pleasant and comfortable.	Fish and Chips by Bareeseta	Ipoh
Kenn & Laurie McConger	5	Update to review below (9 months later):Back in Ipoh, dropped in to visit our friends at Bareeseta. Same great food & coffee, same charming couple running the place. Their menu is delicious and	Fish and Chips by Bareeseta	Ipoh
Elaine Ng	5	The fish and chips, pork burger and big breakfast are good!!! yummy... No pictures coz my family finished all in mere minutes.. That's how good they are	Fish and Chips by Bareeseta	Ipoh
Martina	5	Went in for lunch. Service is friendly and quick, nice atmosphere in the cafÃ©. Prices are a bit high, but you get great food quality and perfect taste! This place had the best coffee I had in Malaysia so far (cold americano). The salmon croissant was extremely delicious, it almost made my tastebuds explode!	Fish and Chips by Bareeseta	Ipoh
Jia Ying	5	Love the ambience, the staff is friendly too. Drinks are within affordable range of cafÃ©s beverages.	Fish and Chips by Bareeseta	Ipoh
Myriam Haar	2	1 waitress, 1 cook for a full restaurant. It took 10 minute waiting for my hot coffee that was prepared in 30 seconds. Only got it after I inquired about it. The food is very good, drinks too but the service sucks.	Fish and Chips by Bareeseta	Ipoh
June Yeong	5	We are regular customers since Bareeseta Coffee Houseâ€™s time. The food is nice as always, so good that they moved nearer to our place and more food choices now.	Fish and Chips by Bareeseta	Ipoh
Pauline Simon	4	Food wise, it's good, and would be better without some element of surprises in the meal: Capers and pickles in Eggs Benedict with Salmon (Eggs Royal), crisps (taste very similar to Doritos) included in the Breakfast. But overall, it is a very nice, cosy coffee house, loved the music as well!	Fish and Chips by Bareeseta	Ipoh
Chris Rock	5	Excellent food excellent decor excellent service. Five out of five	Fish and Chips by Bareeseta	Ipoh
Ana BakariÄ‡	5	Great breakfast! We had pancakes, oatmeal, waffle, latte and everything was very tasty. Price is ok, for meal about 20 ringit and coffee about 10. The staff is very polite.	Fish and Chips by Bareeseta	Ipoh
Eric Leong	5	Nice place for coffee and brunch. Friendly staff too	Fish and Chips by Bareeseta	Ipoh
Kelvin Teo	1	Gave us butter knife to cut fish and chips ðŸ¤¦â€â™‚ï¸	Fish and Chips by Bareeseta	Ipoh
Benedict Foo	4	First time trying the Gula Melaka Latte. And I liked it. Try the Eggs Benedict with bacon or smoked salmon. Shop has high ceilings and that adds to the old pre war atmosphere	Fish and Chips by Bareeseta	Ipoh
Irene SF	5	I tried one of their menu, "Sunny Egg Breakfast", and it's excellent! Meanwhile, i ordered the Tiramisu as well & I love it every much. Truly recommended this coffee house and I will come again.	Fish and Chips by Bareeseta	Ipoh
Liza Phillips	5	A little gem hidden in the heart of heritage Ipoh! We stopped here for brunch on the way to Penang. Fresh juices, yummy waffles and delicious, beautifully presented brunch - can recommend the eggs benedict and mushroom toast.	Fish and Chips by Bareeseta	Ipoh
Greta MacEvers	5	Had breakfast at this place, their matcha latte is delicious and so is the panini we ate! Also try their litchi-lime smoothie, it's so refreshing! And the staff is really friendly too, would always come back! :)	Fish and Chips by Bareeseta	Ipoh
Lim Chin Thong	5	Very nice environment, friendly staffs serving quality food with reasonable price.	Fish and Chips by Bareeseta	Ipoh
ignatius ng	4	i do recommend this cozy coffeee shop with strong air cond good to hang out when its hot weather out thr.	Fish and Chips by Bareeseta	Ipoh
Christopher Miley	3	Tried breakfast first time here. Poached eggs a bit underdone, and then served on sweet raisin toast not to my liking Iâ€™m afraid. But lots good reviews so other food must be good.	Fish and Chips by Bareeseta	Ipoh
Ruslan	5	Quite nice place, we liked coffee, food, service	Fish and Chips by Bareeseta	Ipoh
Stefan Eulitz	5	Good coffee, good juices and tasty meals. We had pancakes, panfles (waffles and pancakes), smoked salmon croissant and Bacon and eggs. Definitely good place dir breakfast.	Fish and Chips by Bareeseta	Ipoh
David Gaura	5	Best coffee house. Small & neat.	Fish and Chips by Bareeseta	Ipoh
Chun Yen Lee	5	Ordered carbonara pasta and confit leg of chicken, they tasted just perfect. Food decoration is nice as well. Nice and comfortable atmosphere. Great place to have meal.	Fish and Chips by Bareeseta	Ipoh
Carol Yong	4	Cool quirky interesting cafe. The drinks we ordered Lychee Lime and Blue Berry Burst were yummy and ada oomph!!	Fish and Chips by Bareeseta	Ipoh
Hanako M.	5	Ordered breakfast for delivery by GrabFood. Came individual packages and nicely packed. The food came with beautiful salad and they were tasty.	Fish and Chips by Bareeseta	Ipoh
Rachel Lam	5	Small little cafe that serves Gula Melaka Latte & Bailey's Latte. Do give them a try if you are around the area. Won't be disappointed ðŸ‘	Fish and Chips by Bareeseta	Ipoh
Zhi Xuan Lie	5	Surprisingly good coffee at low prices. Tortilla is great and the portion is enough for a person as a meal.	Fish and Chips by Bareeseta	Ipoh
Keyboard Man	4	Latte is good, maybe change the milk to farmhouse will be better? Cuz it's more rich and creamy for latte, I wouldn't mind to pay more for it, just my opinion ðŸ˜„	Fish and Chips by Bareeseta	Ipoh
Eric Leong	4	Cosy atmosphere, good food and service.	Fish and Chips by Bareeseta	Ipoh
Christine Cornthwaite	5	Pancakes looked nice, my son ordered them. I was a little disappointed with half a glass of orange juice the rest was foam. But overall a great experience. Thank you.	Fish and Chips by Bareeseta	Ipoh
North Tacoma Kitchen&Bath	5	The food was excellent! Friendly staff and good vibe. My only recommendation would be to have photos of the food in the menu.	Fish and Chips by Bareeseta	Ipoh
Chow Kah Fai	4	Delicious foods and special taste of coffee	Fish and Chips by Bareeseta	Ipoh
nirel harban	5	The food was marvellous! Delicious and intricate well thought off ingredients. Will.come again definitely!	Fish and Chips by Bareeseta	Ipoh
Jean Chooi	5	Great ambiance, wonderful service and yummy food ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»â™¥ï¸â™¥ï¸â™¥ï¸ Love this place. Will definitely come again in the future!!	Fish and Chips by Bareeseta	Ipoh
ç¨¼ç¨¼	5	Nice environment. Nice service. Nice food.	Fish and Chips by Bareeseta	Ipoh
Chong sin ee	5	Nice breakfast ever! Should try in Ipoh!ðŸ³ðŸ³ðŸ³	Fish and Chips by Bareeseta	Ipoh
Andreas Kellerer	5	Great place to enjoy a coffee. We returned the next day for breakfast. Didn't regret that decision.	Fish and Chips by Bareeseta	Ipoh
Michael Toh	5	Top notch coffee. Quality and delicious food. Excellent music playlist - pop music in broadway style	Fish and Chips by Bareeseta	Ipoh
Cathy Hatters	4	Fabulous very naughty waffles,  a total treat for two complemented by some interesting takes on ordinary espresso.	Fish and Chips by Bareeseta	Ipoh
DababyNotOfficial	5	The coffee here is very delicious, I hope to come here every week to support this cafe! â˜ºï¸ðŸ˜	Fish and Chips by Bareeseta	Ipoh
Mevish A	1	Donâ€™t go by the reviews, the coffee here is overrated. The juice comes with a lot of sugar	Fish and Chips by Bareeseta	Ipoh
Carlos .J	4	Positive:Cozy placeDelicious food	Fish and Chips by Bareeseta	Ipoh
WONG SOOKMUI	5	great coffee and fabulous food. Love the waffle and the special â€˜miss donutâ€™	Fish and Chips by Bareeseta	Ipoh
Chang Kl	4	coffee is nice, worth the price. Definitely will come again.	Fish and Chips by Bareeseta	Ipoh
teoh soonwang	5	More vege to reduce deserter	Fish and Chips by Bareeseta	Ipoh
Jimmy Lim	5	Wide varieties of fish and chips.	Fish and Chips by Bareeseta	Ipoh
å³ä¾åº­	5	Nice drink, good service. =)	Fish and Chips by Bareeseta	Ipoh
Angeline Ng	5	A family friendly cafe, with great coffee and super yummy Chocolate Fondant Cake!	Fish and Chips by Bareeseta	Ipoh
Palraj Singh	5	Excellent food and pretty cool ambience. ðŸ‘Œ	Fish and Chips by Bareeseta	Ipoh
Flavien Pallard	5	Tried Chocolate Fondant Hot Cake and it was amazing! Thank you Bareeseta	Fish and Chips by Bareeseta	Ipoh
Violet Lam	5	A place with good food, ambiance, staff.Definitely must try.	Fish and Chips by Bareeseta	Ipoh
Phil B	5	Bareesta cook is passionate about food, best cafe in Ipoh	Fish and Chips by Bareeseta	Ipoh
Stijn Meijer	5	Very happy that we came across this place. Lots of choice, beautifully served and friendly staff.	Fish and Chips by Bareeseta	Ipoh
Narmada Sivanason	5	Food was really tasty and service was super	Fish and Chips by Bareeseta	Ipoh
Cath	2	Coffee disappointing considering how expensive it was. No plant based milk.	Fish and Chips by Bareeseta	Ipoh
anivrees	5	My favorite cafe in town! Although, parking can be a hassle sometimes.	Fish and Chips by Bareeseta	Ipoh
Letha Shaferry Binel	5	Awesome choices of signature drinks and astounding desserts	Fish and Chips by Bareeseta	Ipoh
Ant Tml	4	Delicious food, nice ambience and interesting decorations	Fish and Chips by Bareeseta	Ipoh
gurjit kaur	4	nice food and nice staff. would ocme back again	Fish and Chips by Bareeseta	Ipoh
Dan Denny	5	5 ðŸŒŸ	Fish and Chips by Bareeseta	Ipoh
Foong Tong Heng	5	Nice food,  Good music,  happy environment	Fish and Chips by Bareeseta	Ipoh
Meor ZWayne	3	Its non-halal food should be point out	Fish and Chips by Bareeseta	Ipoh
Janice Cheng	5	Delicious food, nice environment & friendly service ðŸ‘	Fish and Chips by Bareeseta	Ipoh
JN Jong	5	Great place to chill after a long stroll around Ipoh town.	Fish and Chips by Bareeseta	Ipoh
miewkwan chen	5	Comfy and cozy. Nice food and nice coffee.	Fish and Chips by Bareeseta	Ipoh
James Brookes	3	GOOD SERVICE, LESS ABOUT PRICES AND DESSERTS QUALITY.	Fish and Chips by Bareeseta	Ipoh
Wong Max	5	Nice environment and great food.	Fish and Chips by Bareeseta	Ipoh
Adelena Dass	5	Love the food!!! Nothing more to say	Fish and Chips by Bareeseta	Ipoh
ALYSSA MEI	4	Chill place to enjoy coffee at afternoon hot sun time	Fish and Chips by Bareeseta	Ipoh
Choo Jiayi	5	Good taste	Fish and Chips by Bareeseta	Ipoh
Choon Wei	5	Very delicious food and coffee	Fish and Chips by Bareeseta	Ipoh
Elizaveta Shashkova	5	Good service, good food!	Fish and Chips by Bareeseta	Ipoh
John Sones	5	Excellent pie and fresh juice	Fish and Chips by Bareeseta	Ipoh
EK Saw	3	1st try	Fish and Chips by Bareeseta	Ipoh
lee yee ling	5	Delicious western foods	Fish and Chips by Bareeseta	Ipoh
Chy Yan Lau	5	Very cosy and great service	Fish and Chips by Bareeseta	Ipoh
Manharpreet Singh Sandhu	5	Amazing	Fish and Chips by Bareeseta	Ipoh
YX Tan	5	Tasty!	Fish and Chips by Bareeseta	Ipoh
Winnie JEE EUN	5	Yummy and nice restaurant	Fish and Chips by Bareeseta	Ipoh
zikei cute princess	5	Good nice environment	Fish and Chips by Bareeseta	Ipoh
Tessa Pit	5	Wow!!	Fish and Chips by Bareeseta	Ipoh
Jaeson Loke	3	Food choices less	Fish and Chips by Bareeseta	Ipoh
Colt Choo	5	Nice Environment	Fish and Chips by Bareeseta	Ipoh
Cheah Jo	4	Wafer taste good	Fish and Chips by Bareeseta	Ipoh
J	4	Like the environment	Fish and Chips by Bareeseta	Ipoh
Yoon Loon Chan	5	Nice place	Fish and Chips by Bareeseta	Ipoh
Bojio Chan	5	Nice place	Fish and Chips by Bareeseta	Ipoh
LouiSe Kuong	5	dishes are very delicious. We try for fish and chip, chicken chop,fruit and nut salad , spaghetti and dessert chocolate lava. Good service and very polite staff. Will be visit again. Recommended ðŸ‘	Fish and Chips by Bareeseta	Ipoh
LING LOOI	5	Everything was good, service, environment and food.	Fish and Chips by Bareeseta	Ipoh
Ng Ee Ven	4	Western food. Food not bad ... worth trying. Price ok. Hard to get parking lots.	Fish and Chips by Bareeseta	Ipoh
Nicholas 54321	3	The fish and chips are very small. The asking price is 33 yuan, which is very expensive. Today I am visiting for the first time. First of all, I think the taste is very ordinary. My mother finds it unpalatable.	Fish and Chips by Bareeseta	Ipoh
Globetrotter	5	Nice cafÃ© in Ipoh's old town.The cappuccino was the best coffee I've had in Ipoh.In addition, the chicken panino was extremely tasty and lovingly presented. The	Fish and Chips by Bareeseta	Ipoh
æ—…äºº	4	And their fate is in a kind of opinion, if you miss it, there is no way ðŸ‘	Fish and Chips by Bareeseta	Ipoh
Susanne Heil	5	Cappuccino, Bircher muesli, smoothies and the pancake / waffle combination were excellent !! Absolutely charming vintage-style restaurant, we gladly paid a little more for the good food!	Fish and Chips by Bareeseta	Ipoh
å½­å­äºŽ	5	Very professional and friendly serviceFine dining, high CP value in Taipei priceDon't miss the tiramisu of adult taste!	Fish and Chips by Bareeseta	Ipoh
Qing K	5	Fish&chipâ€™s fish noodle skin is a bit too oily, itâ€™s delicious	Fish and Chips by Bareeseta	Ipoh
äº”æœˆå°ç†Š	5	The waitress has a good service attitude. The restaurant is very comfortable in European and American style and is a good place for friends or family gathering. The food is very tasty, especially the dessert and	Fish and Chips by Bareeseta	Ipoh
Hanna xx	4	Not the cheapest (coffee about 9 ringgit), but delicious. Good coffee and delicious food (had the croissant with cheese and that was also more extensive than expected). Very friendly staff.	Fish and Chips by Bareeseta	Ipoh
engkien ong	5	great	Fish and Chips by Bareeseta	Ipoh
Hew Choon Kok	4	Coffee and food are good	Fish and Chips by Bareeseta	Ipoh
Khor Jeffrey	5	The food tastes good and unique	Fish and Chips by Bareeseta	Ipoh
Wat amulet Thai	5	The food tastes good and delicious ðŸ˜‹ The local environment is beautiful. ðŸ‘	Fish and Chips by Bareeseta	Ipoh
é™³é´»å±•	4	Nice brunch coffee shop	Fish and Chips by Bareeseta	Ipoh
ç•ªèŒ„ç‚’è›‹	3	Not much choice	Fish and Chips by Bareeseta	Ipoh
Sinyean Chong	5	delicious!	Fish and Chips by Bareeseta	Ipoh
Chee Huiliang	5	Very great place for chilling and relaxing with the friends or family. I like the concept of this place and the designation too. The place also very clean and comfy. The service is quiet good. Just a bit slow when theres a lot of customers.	Burps & Giggles	Ipoh
Christopher Miley	4	After four years we just had to see if this place was still here, let alone still making great coffee. Happy to say thatâ€™s a tick on both counts. Very fine coffee, rich and quite strong but not a hint of bitter. And served at perfect	Burps & Giggles	Ipoh
Victor Lim	4	A hippie cafe concept using the basis of oldies feel with a lil of coloring and art to blend its viewing appeal for customers to chill and dine or to have a cup of drink stop by. You come here for dessert cakes, lunch meals, or a coffee	Burps & Giggles	Ipoh
Kit Teguh	4	During my visit to Ipoh, this is the most hipster I've felt out of all the places we visit. The music is from another era, like Sound of Music sort of era and there were a lot of antiques here squeezed in.	Burps & Giggles	Ipoh
Philipp KlÃ¶ckner	5	Nice CafÃ© and breakfast place in Ipoh old town. Offers a full English breakfast, many tea, cafe and juice options. Bring some time for the preparation of your meal. Reasonable prices.	Burps & Giggles	Ipoh
Hock Sing Tan	4	Nice ambience and recycling theme deco. Fish and chips (4*) here is delicious. Fish fillet with crispy outer layer and soft inside. Cheesecake, ice cream and coffee here are overrated and I find it so so only	Burps & Giggles	Ipoh
Putri Satya Ananda Ida Ayu	4	Ohhh I really really love the area of this place! This place is also amazing! The photo that I took here is my fave! The eclectic ambience, vintage industrial! The staffs are nice and kind. Easy to get this place  a walking distance from	Burps & Giggles	Ipoh
Loopy	4	Good atmosphere and quiet on weekdays. The staff is polite and patience. Reason that doesn't get 5 stars is because the air conditioning is not cold enough, they are cooking in the same area even they have exhaust fan for thier kitchen, somehow doesn't bring any value to the oldies environment. Would definitely visit again.	Burps & Giggles	Ipoh
Amy Rae	3	Average cafe, with a rustic feel. They're trying a bit too hard to make the menu look unique that you end up questioning half the items of the menu, also half the terms are french which does not fit with the theme. For example a burger	Burps & Giggles	Ipoh
capsules81	3	Nice little ( when i say little means it can be crowded easily due to lack of space ) cafe with rustic feel. Burger was "stabbed dead" delicious but not the best though. Still worth to try.	Burps & Giggles	Ipoh
ShirleyE K	5	Ambient is very vintage & cosy kind of feeling. Food menu serve is Western Asian and averagly good. A good place to catch up. Love their creative wash place	Burps & Giggles	Ipoh
Andre Schoch	5	The quirkiest and most attractive of the several Old Town cafÃ©s (they're all great though, to be fair), this one also does the best flat white and has free WiFi. We didn't get to try the food there and their menu is less varied than at Aud's or Bareeseta , all Western comfort food, but I'm sure it's good	Burps & Giggles	Ipoh
AP	3	Nice deco of the place, interesting way of recycling paper for menu. Menu too many and really confusing. Like the vibe but not the service or food.	Burps & Giggles	Ipoh
Chelsea Vilson	3	Parking was a pain. Space was alright. Creative decoration. Food was average. Nothing so special about this place but definitely a cozy place to hangout	Burps & Giggles	Ipoh
Guo Linqin	4	It is a Vintage cafe, look quite special and have a nice food.	Burps & Giggles	Ipoh
Meng p	4	They had a old school settings in the shop. Strategically situated near concubine lane with reasonable prices and some special menu.	Burps & Giggles	Ipoh
Alison Stevens	4	Back in Ipoh after almost four years itâ€™s great to find that the coffee is still first rate! The staff are friendly and the service is quick.	Burps & Giggles	Ipoh
Fikri Idris	4	Good coffee shop and simple. Just try their coffee that day. nicely brewed and smothered taste	Burps & Giggles	Ipoh
Eric Woo	3	Nice environment, regular coffee nothing fancy, expect Starbucks premium drink price....	Burps & Giggles	Ipoh
Yuki Sum	4	Nice place to hangout during weekend while there less crowded with tourists. Nice ambience with old century English song.	Burps & Giggles	Ipoh
Flap Jack	4	Really lovely interior design. Coffee was good but nothing special.	Burps & Giggles	Ipoh
Khairi Ema	4	Really nice place to chill..food is good. Big portion. Quick service ðŸ‘	Burps & Giggles	Ipoh
Lehmann Family	4	Good coffee, Teh Tarik and chocolate cake. Staff takes effort in brewing coffee and are courteous to their customers. Nice little cafe to chill out!	Burps & Giggles	Ipoh
kelsey hinz	5	Very cute cafe in the middle of old town. White coffee was good and the staff were very friendly	Burps & Giggles	Ipoh
JK Chan	5	Nice quaint and rustic place, staff was friendly and warm.	Burps & Giggles	Ipoh
Tony Khong	5	This neat and cozy place has a very unique interior decorations and the young, friendly staff make this a very cool place. ðŸ˜„ðŸ‘Œ	Burps & Giggles	Ipoh
Ammidea Lovecurse	5	Decent & calm place. Nice place to set and meet people. The music is not too loud. The services was nice. The food choices are simple but the taste was over the top. Reasonable prices. Will come again. Marks as one of my favourite place.	Burps & Giggles	Ipoh
Mag TY	4	Enjoyed my fish and chips and the flat white. Laid back vibe perfect for a lazy afternoon	Burps & Giggles	Ipoh
Sam	5	Pretty place. It's a little pricey but quite worth it overall. Friendly staff :)	Burps & Giggles	Ipoh
Marcus Tay	4	Charming rustic cafe perfect for hangout	Burps & Giggles	Ipoh
Graham P	2	After enjoying coffee in AUD's we decided to try lunch in one of the other cafe's in this group.  We ordered veg and chicken burgers but didn't enjoy. The chicken was fatty and an unusual texture / cut which I found off putting and didn't finish. I think there are better choices close by ðŸ¤”	Burps & Giggles	Ipoh
Koid JYan	5	Good atmosphere and nice place to check in with some good photographs.	Burps & Giggles	Ipoh
Frances Davis	3	As others have mentioned it is Western food and pretty overpriced compared to other traditional food in the area (burger no fries 23 ringgit).  But I am forced to admit that if you want AC and a burger it is a good place with a decent burger.	Burps & Giggles	Ipoh
Khairul Anuar Shaharudin	4	It has its own attraction being in a run down looking shophouse to make it soooooo hipstur but it has good cakes and coffee. The timing of the cafe which close after 6pm is a bane to me as I love its ambiance late in the evening. Maybe now it opens late into the night	Burps & Giggles	Ipoh
KP Chen	4	Charming cafÃ© in Ipoh old town. Decent food and drinks, helpful staff. There's live music from time to time too. Too bad doesn't accept credit cards yet. Would suggest the owners to provide more seats during peak periods.	Burps & Giggles	Ipoh
Jiann Wui Foo	5	Burps & GigglesDate: October 20, 2016	Burps & Giggles	Ipoh
David Morris	5	Tasty salmon bagel with cream cheese and a pear side salad made for a nice breakfast. Decent flat white and mocha too. Lovely quirky decor and friendly service. Good Wi-Fi.	Burps & Giggles	Ipoh
Marten Rehfeld	2	they should put a little less effort on decoration and a lot more effort on the food. brekkie was very basic and flat in taste. personell was friendly though.	Burps & Giggles	Ipoh
Max Tan	5	Great hangout to chill after exploring in Ipoh	Burps & Giggles	Ipoh
Suraya Pengiran	2	I'm writing this while I'm still here in this cafÃ© ok so when we came in, the waitress said hello bla bla bla she seemed nice, she gave us menu and asked us to order at the counter and pay first before we get our food. I was ok with it	Burps & Giggles	Ipoh
safiona lazarus	3	Not bad! Nice ambience...ðŸ‘	Burps & Giggles	Ipoh
Joshua Lee	4	Rustic, cozy and amazingly beautiful. The Jammy burger is good but not the best that I've tasted. Cendol ice cream was pretty awesome tho.	Burps & Giggles	Ipoh
Rob McBroom	4	Friendly staff, eclectic decorations, good coffee, and decent price!It's a great place to visit to escape the heat when walking around old town during the day.	Burps & Giggles	Ipoh
Mate Valtr	4	The starting point if you are in Ipoh for 'Cafe Hopping'Very cozy and stylish cafe spot with vintage and rustic aesthetic. You can get	Burps & Giggles	Ipoh
Lai Jessica	4	Antique restaurantMenu with a lot of variety , food was good	Burps & Giggles	Ipoh
çŽ‹èŽ‰èŽ‰	5	food is very nice and the service is good and kind. coffee is the best at ipoh, strong and fragranceï¼Œlittle bit nutty tasteðŸ‘	Burps & Giggles	Ipoh
Ahmad Syahid	4	Lovely environment, nice food, reasonably priced & friendly waiter. Perfect for hanging out with your buddies.	Burps & Giggles	Ipoh
Tharani Kanappan	3	This cafe has vintage vibes and the food is okay. If you are lookin for a private space to eat and chat then this is a good place.	Burps & Giggles	Ipoh
JayMay Ipoh Merchant	5	Fish and chips and coffee were so far the best in i've tried. Love the ambience, very unique. good service	Burps & Giggles	Ipoh
Shriram Venugopal	4	Nice classy place. Lots of character. Young, friendly staff and good food. Only downside is that it's slightly pricy.	Burps & Giggles	Ipoh
Powell Roy Louis (theroytravels)	4	Nice ambience. Good cappucino	Burps & Giggles	Ipoh
Rezzuan Rahim	4	Love the cereal bar and the rare drinks selection. However, the food is just OK for those looking for pasta & other Western food.	Burps & Giggles	Ipoh
nida azwar	5	Lovely little hipster place with really cool vibes. Stumbled across it on a walk in ipoh near Market place and had icecream on a hot day.	Burps & Giggles	Ipoh
Rahayu Ramli	4	Great burgers and chill ambience. Good for hanging out while working but is a bit small so would get crowded easily.	Burps & Giggles	Ipoh
Justin van Schaick	5	Beautiful cafÃ©-restaurant. Had a good Americano here. It has a Cuba-kind of vibe to it. To bad it closes at 6 pm.	Burps & Giggles	Ipoh
Javiera Soto Aranda	5	We really enjoy this place so much the next day we stop again. We try the ciabatta pizza and fresh juice too! Amazing staff, friendly and good Wi-Fi.	Burps & Giggles	Ipoh
Chris Chiang	1	I think they have a management change it used to be very good, now the food is bad, stingy on giving ingredient, even the fruit juice is so small portion.	Burps & Giggles	Ipoh
Tunku Muhammad Tunku Farahat	4	A nice patchy cafe with a different vibe. Drinks are mediocre but a wide variety. The food is tasty.	Burps & Giggles	Ipoh
Jan Frantz	5	Great eclectic ambience and friendly staff! Also, I walked inside with a torn flip flop and the staff surprised me a new pair while I was having breakfast ðŸ˜Š	Burps & Giggles	Ipoh
DanielTnc	4	It's a great restaurant to dine in, with a flair of art and delicious burgers. Quite satisfying, but a little bit pricey.	Burps & Giggles	Ipoh
Jordan Ng	5	Quaint and cool environment to grab a bite and drink. Refreshing contrast from its surroundings.	Burps & Giggles	Ipoh
eraz tajul	4	u should try poulet and greeko burger.  the environment is so what we called rustic. its just that they decorated it  with old things.	Burps & Giggles	Ipoh
Nabilla S	4	Coffee & cake was decent. Nice ambiance but nothing to shout about though..	Burps & Giggles	Ipoh
Tony Buxton	4	Cute, eclectic cafe. Good food and nice desserts. Friendly owner and staff.	Burps & Giggles	Ipoh
